time,rms,crest_factor,total_fft_energy
0.35624990,0.00565680,2.20357382,0.00667828
0.35874990,0.00573919,2.17194092,0.00676603
0.36124990,0.00597218,2.08720687,0.00719443
0.36374990,0.00621576,2.00541420,0.00775936
0.36624990,0.00687266,1.91131160,0.00952438
0.36874990,0.00730848,1.79733597,0.01090468
0.37124990,0.00760202,1.72793498,0.01201017
0.37374990,0.00761698,1.72454283,0.01206664
0.37624990,0.00759835,1.72876956,0.01195785
0.37874990,0.00742888,1.76820865,0.01131038
0.38124990,0.00734624,1.78809949,0.01091991
0.38374990,0.00741681,1.77108624,0.01111855
0.38624990,0.00753126,1.74416996,0.01141028
0.38874990,0.00769264,1.70758023,0.01192219
0.39124990,0.00781467,1.76473829,0.01228127
0.39374990,0.00754232,1.82846216,0.01141566
0.39624990,0.00755925,1.82436748,0.01146299
0.39874990,0.00757162,1.82138587,0.01150178
0.40124990,0.00759764,1.81514840,0.01155436
0.40374990,0.00759436,1.81593310,0.01155121
0.40624990,0.00754092,1.82880185,0.01138856
0.40874990,0.00748355,1.84282102,0.01124169
0.41124990,0.00734612,1.87729594,0.01086298
0.41374990,0.00726534,1.89817019,0.01065069
0.41624990,0.00690104,1.99837066,0.00969735
0.41874990,0.00707967,1.94795012,0.01016922
0.42124990,0.00717608,1.92177852,0.01041701
0.42374990,0.00745797,1.84914158,0.01120975
0.42624990,0.00748791,1.84174814,0.01126438
0.42874990,0.00748681,1.84201882,0.01126169
0.43124990,0.00754528,1.82774417,0.01150199
0.43374990,0.00773286,1.78340791,0.01208332
0.43624990,0.00818586,1.72477737,0.01371386
0.43874990,0.00859287,1.94066356,0.01513132
0.44124990,0.00865143,1.92752796,0.01535864
0.44374990,0.00873435,1.90922986,0.01567366
0.44624990,0.00855165,1.95001819,0.01483112
0.44874990,0.00858344,1.94279695,0.01485755
0.45124990,0.00906106,1.84039002,0.01645343
0.45374990,0.00953984,1.74802564,0.01847965
0.45624990,0.00999224,1.66888335,0.02058135
0.45874990,0.01016766,1.64008941,0.02155054
0.46124990,0.01031043,1.61738002,0.02233876
0.46374990,0.01025999,1.62533094,0.02204043
0.46624990,0.01009371,1.65210611,0.02107802
0.46874990,0.00965717,1.72678772,0.01900905
0.47124990,0.00935681,1.78221922,0.01761108
0.47374990,0.00905622,1.84137276,0.01643459
0.47624990,0.00903036,1.84664519,0.01631737
0.47874990,0.00910872,1.83076053,0.01666889
0.48124990,0.00923098,1.80651296,0.01712357
0.48374990,0.00960421,1.73630965,0.01866296
0.48624990,0.00966623,1.72516825,0.01890712
0.48874990,0.00934411,1.60814626,0.01757898
0.49124990,0.00891736,1.68510552,0.01602106
0.49374990,0.00864411,1.73837473,0.01496252
0.49624990,0.00872050,1.72314547,0.01530514
0.49874990,0.00879224,1.70908569,0.01555134
0.50124990,0.00846068,1.77606286,0.01433376
0.50374990,0.00810915,1.85305421,0.01320512
0.50624990,0.00762949,1.96955476,0.01169531
0.50874990,0.00746041,2.01419282,0.01124572
0.51124990,0.00737339,2.03796302,0.01100417
0.51374990,0.00760141,1.97682995,0.01161104
0.51624990,0.00765410,1.96322248,0.01174650
0.51874990,0.00765704,1.96246841,0.01175295
0.52124990,0.00768274,1.95590359,0.01184679
0.52374990,0.00778537,1.93011950,0.01223037
0.52624990,0.00800680,1.87674241,0.01306049
0.52874990,0.00796762,1.88597099,0.01291258
0.53124990,0.00783485,1.91793058,0.01242088
0.53374990,0.00715267,2.08892385,0.01045246
0.53624990,0.00639169,1.95166796,0.00840979
0.53874990,0.00627297,1.78616181,0.00922702
0.54124990,0.00633938,1.76745104,0.00996247
0.54374990,0.00632468,1.77155777,0.01015244
0.54624990,0.00638890,1.75375162,0.00984527
0.54874990,0.00667066,1.75950790,0.00944994
0.55124990,0.00719026,1.99747386,0.01075912
0.55374990,0.00749253,1.91688835,0.01129629
0.55624990,0.00775160,1.85282391,0.01257216
0.55874990,0.00778700,1.84439975,0.01282328
0.56124990,0.00764186,1.87942956,0.01283516
0.56374990,0.00744203,1.92989590,0.01235455
0.56624990,0.00752896,1.90761341,0.01246758
0.56874990,0.00763166,1.88194222,0.01266179
0.57124990,0.00763123,1.88204958,0.01234503
0.57374990,0.00754863,1.90264324,0.01196046
0.57624990,0.00733380,1.95837655,0.01092662
0.57874990,0.00736811,1.94925703,0.01104261
0.58124990,0.00738682,1.94432128,0.01094996
0.58374990,0.00765181,1.87698681,0.01183530
0.58624990,0.00793010,1.81111897,0.01270563
0.58874990,0.00773199,1.85752272,0.01202537
0.59124990,0.00760943,1.88744026,0.01163896
0.59374990,0.00765012,1.87740195,0.01171447
0.59624990,0.00772142,1.86006661,0.01193397
0.59874990,0.00776702,1.84914501,0.01207202
0.60124990,0.00738793,1.66815428,0.01093790
0.60374990,0.00715758,1.72184007,0.01029290
0.60624990,0.00679177,1.81458016,0.00941299
0.60874990,0.00666744,1.84841765,0.00919229
0.61124990,0.00677552,1.81893282,0.00970857
0.61374990,0.00680225,1.81178469,0.00979864
0.61624990,0.00703843,1.75098941,0.01061688
0.61874990,0.00715145,1.72331692,0.01100143
0.62124990,0.00725343,1.69908620,0.01145562
0.62374990,0.00722871,1.70489751,0.01129979
0.62624990,0.00722055,1.70682337,0.01105064
0.62874990,0.00717851,1.71681973,0.01079648
0.63124990,0.00719825,1.71211258,0.01049616
0.63374990,0.00694062,1.77566533,0.00991114
0.63624990,0.00693954,1.77594010,0.00986905
0.63874990,0.00726848,1.72364712,0.01173016
0.64124990,0.00789704,1.89656648,0.01445172
0.64374990,0.00833342,1.79725339,0.01652402
0.64624990,0.00830820,1.80270857,0.01640814
0.64874990,0.00783786,1.91088706,0.01401780
0.65124990,0.00761562,1.96665068,0.01269206
0.65374990,0.00780133,1.91983522,0.01247174
0.65624990,0.00860271,1.89509344,0.01487978
0.65874990,0.00931305,1.75054742,0.01740284
0.66124990,0.00953799,1.70926336,0.01830740
0.66374990,0.00963047,1.69284995,0.01870485
0.66624990,0.00936665,1.74053025,0.01763818
0.66874990,0.00926128,1.76033410,0.01719806
0.67124990,0.00922378,1.76749063,0.01705955
0.67374990,0.00928874,1.75512898,0.01739893
0.67624990,0.00933991,1.74551402,0.01762794
0.67874990,0.00930167,1.75269010,0.01759398
0.68124990,0.00934839,1.74393005,0.01775303
0.68374990,0.00963121,1.69272035,0.01866602
0.68624990,0.01025828,1.83145091,0.02115092
0.68874990,0.01091118,1.90795381,0.02382634
0.69124990,0.01083101,1.92207608,0.02347009
0.69374990,0.01056119,1.97118223,0.02236866
0.69624990,0.01044861,1.99242096,0.02195465
0.69874990,0.01059952,1.96405321,0.02277281
0.70124990,0.01069065,1.94731216,0.02322012
0.70374990,0.01042993,1.99598920,0.02196381
0.70624990,0.00984894,2.11373236,0.01948278
0.70874990,0.00918066,2.26759497,0.01689446
0.71124990,0.00886095,2.34941322,0.01583318
0.71374990,0.00871654,2.38833656,0.01561547
0.71624990,0.00879516,2.36698617,0.01614560
0.71874990,0.00875116,2.37888652,0.01637505
0.72124990,0.00869001,2.39562617,0.01629110
0.72374990,0.00867684,2.39926265,0.01627167
0.72624990,0.00876317,2.37562820,0.01647066
0.72874990,0.00904230,2.30229323,0.01702710
0.73124990,0.00955251,2.17932614,0.01855994
0.73374990,0.00967168,2.15247269,0.01877884
0.73624990,0.00909345,2.28934226,0.01772748
0.73874990,0.00783001,1.97526287,0.01435180
0.74124990,0.00735715,2.10221696,0.01343441
0.74374990,0.00750579,2.06058861,0.01370689
0.74624990,0.00789359,1.95935298,0.01393699
0.74874990,0.00782334,1.97694881,0.01311277
0.75124990,0.00767488,2.01518925,0.01217568
0.75374990,0.00761615,2.03072927,0.01182912
0.75624990,0.00762659,2.02794921,0.01166424
0.75874990,0.00783020,1.97521618,0.01228878
0.76124990,0.00802505,1.92725798,0.01292834
0.76374990,0.00817013,1.89303510,0.01344706
0.76624990,0.00815373,1.89684080,0.01338860
0.76874990,0.00815036,1.89762589,0.01337493
0.77124990,0.00814366,1.89918716,0.01338738
0.77374990,0.00813007,1.90236123,0.01335185
0.77624990,0.00800712,1.93157168,0.01302406
0.77874990,0.00781512,1.97902823,0.01249406
0.78124990,0.00726811,1.85280688,0.01104696
