time,rms,crest_factor,total_fft_energy
0.31374990,0.00505419,1.83208192,0.00697115
0.31624990,0.00549576,1.92916860,0.00706927
0.31874990,0.00580647,1.82593952,0.00732782
0.32124990,0.00613480,1.72821551,0.00775174
0.32374990,0.00676485,1.88625880,0.00920586
0.32624990,0.00743277,1.85285163,0.01109356
0.32874990,0.00789821,1.74366325,0.01273188
0.33124990,0.00790405,1.74237541,0.01327471
0.33374990,0.00770908,1.78644073,0.01328367
0.33624990,0.00752892,1.82918922,0.01308331
0.33874990,0.00743724,1.85173855,0.01301961
0.34124990,0.00743643,1.85194036,0.01319795
0.34374990,0.00749361,1.83780711,0.01321106
0.34624990,0.00753212,1.82841281,0.01325611
0.34874990,0.00803535,1.81141629,0.01445019
0.35124990,0.00889137,2.09316005,0.01676043
0.35374990,0.00934706,1.99111533,0.01805791
0.35624990,0.00960701,1.93723819,0.01877879
0.35874990,0.00959244,1.94018006,0.01867063
0.36124990,0.00954799,1.94921387,0.01844789
0.36374990,0.00947481,1.96426836,0.01810286
0.36624990,0.00917787,2.02782046,0.01687386
0.36874990,0.00905517,2.05529620,0.01649015
0.37124990,0.00899327,2.06944348,0.01661395
0.37374990,0.00856503,2.17291257,0.01568479
0.37624990,0.00803637,2.31585465,0.01489087
0.37874990,0.00758044,2.45514272,0.01402526
0.38124990,0.00732930,2.53926783,0.01393278
0.38374990,0.00724407,2.56914525,0.01404719
0.38624990,0.00724069,2.57034527,0.01397351
0.38874990,0.00723117,2.57372684,0.01365987
0.39124990,0.00745159,2.49759521,0.01376174
0.39374990,0.00770695,2.41484285,0.01369752
0.39624990,0.00845482,2.20123752,0.01496380
0.39874990,0.00837719,2.22163564,0.01428567
0.40124990,0.00765939,2.17014502,0.01200486
0.40374990,0.00710559,2.33928336,0.01085149
0.40624990,0.00674398,2.46471575,0.01015909
0.40874990,0.00694189,2.39444683,0.01041836
0.41124990,0.00727278,2.28550880,0.01092713
0.41374990,0.00780203,2.13047078,0.01228295
0.41624990,0.00813456,2.04337836,0.01323999
0.41874990,0.00812878,2.04483278,0.01322190
0.42124990,0.00792367,2.09776316,0.01268406
0.42374990,0.00793815,2.09393712,0.01282373
0.42624990,0.00795201,2.09028740,0.01311088
0.42874990,0.00792106,2.09845585,0.01295543
0.43124990,0.00792037,2.09863837,0.01292554
0.43374990,0.00808227,2.05660012,0.01358497
0.43624990,0.00837449,1.98483596,0.01502109
0.43874990,0.00882596,1.88330780,0.01699457
0.44124990,0.00882248,1.88404911,0.01697802
0.44374990,0.00857753,1.93785290,0.01585738
0.44624990,0.00783065,1.74035698,0.01263762
0.44874990,0.00741915,1.70639537,0.01105673
0.45124990,0.00735596,1.72105402,0.01104015
0.45374990,0.00750305,1.68731493,0.01164940
0.45624990,0.00755996,1.67461201,0.01190002
0.45874990,0.00744572,1.70030688,0.01148739
0.46124990,0.00710877,1.78089899,0.01029752
0.46374990,0.00653653,1.92068594,0.00862401
0.46624990,0.00614190,2.04409514,0.00756263
0.46874990,0.00604387,2.07724795,0.00739574
0.47124990,0.00606475,2.07009846,0.00745725
0.47374990,0.00601024,2.08887297,0.00725932
0.47624990,0.00593308,2.11603874,0.00704798
0.47874990,0.00595847,2.10701994,0.00712973
0.48124990,0.00595843,2.10703358,0.00712970
0.48374990,0.00575078,2.18311562,0.00661638
0.48624990,0.00536867,2.33849794,0.00590252
0.48874990,0.00496769,1.98746360,0.00553174
0.49124990,0.00505416,1.95345775,0.00640405
0.49374990,0.00523581,1.88568782,0.00735856
0.49624990,0.00536336,1.84084101,0.00775153
0.49874990,0.00508488,1.94165791,0.00666190
0.50124990,0.00459401,1.98009950,0.00526614
0.50374990,0.00444212,2.04780702,0.00457410
0.50624990,0.00458712,1.98307331,0.00444492
0.50874990,0.00513258,2.18631090,0.00541677
0.51124990,0.00590665,2.23944472,0.00702018
0.51374990,0.00655853,2.01685461,0.00901835
0.51624990,0.00675792,1.95734966,0.00961667
0.51874990,0.00693439,1.90753745,0.01030942
0.52124990,0.00699114,1.89205299,0.01050976
0.52374990,0.00699502,1.89100474,0.01074491
0.52624990,0.00702068,1.88409220,0.01075780
0.52874990,0.00720189,1.83668498,0.01079354
0.53124990,0.00754680,1.75274355,0.01174583
0.53374990,0.00787049,1.68065930,0.01243828
0.53624990,0.00816521,1.61999538,0.01345435
0.53874990,0.00812809,1.62739423,0.01334389
0.54124990,0.00796274,1.66118901,0.01276234
0.54374990,0.00780189,1.69543584,0.01239938
0.54624990,0.00767924,1.72251479,0.01204753
0.54874990,0.00795687,1.66241344,0.01320684
0.55124990,0.00822717,1.60779676,0.01436337
0.55374990,0.00829674,1.59431464,0.01468142
0.55624990,0.00816352,1.62033142,0.01408768
0.55874990,0.00779648,1.69661317,0.01243381
0.56124990,0.00731342,1.76502330,0.01082306
0.56374990,0.00682546,1.50715669,0.00941464
0.56624990,0.00670622,1.53395469,0.00940171
0.56874990,0.00660068,1.55848272,0.00949793
0.57124990,0.00673844,1.52662193,0.01048860
0.57374990,0.00682983,1.50619236,0.01112032
0.57624990,0.00680506,1.51167502,0.01093493
0.57874990,0.00665093,1.54670820,0.00998532
0.58124990,0.00641889,1.60262014,0.00869305
0.58374990,0.00632446,1.62654852,0.00816008
0.58624990,0.00590420,1.60631665,0.00697553
0.58874990,0.00564723,1.67940911,0.00651209
0.59124990,0.00551611,1.71932993,0.00623870
0.59374990,0.00551624,1.71928823,0.00623834
0.59624990,0.00544030,1.74328798,0.00605566
0.59874990,0.00510392,1.85818134,0.00525350
0.60124990,0.00466212,1.90581306,0.00442021
0.60374990,0.00441623,2.01192594,0.00393556
0.60624990,0.00443312,2.00425904,0.00404094
0.60874990,0.00441797,2.01113235,0.00401574
0.61124990,0.00428064,2.07565081,0.00372149
0.61374990,0.00413758,2.14742066,0.00350314
0.61624990,0.00396366,2.24164669,0.00317049
0.61874990,0.00378558,2.34709968,0.00299123
0.62124990,0.00336968,2.63678491,0.00244524
0.62374990,0.00324675,2.73661660,0.00256824
0.62624990,0.00335945,2.64481591,0.00280586
0.62874990,0.00326291,2.72306461,0.00259481
0.63124990,0.00313931,2.83027741,0.00229654
0.63374990,0.00265537,1.89422075,0.00142946
0.63624990,0.00304360,2.25936703,0.00193942
0.63874990,0.00315942,2.17654091,0.00206668
0.64124990,0.00323785,2.12381821,0.00211971
0.64374990,0.00348914,1.97086052,0.00247763
0.64624990,0.00371511,1.85098614,0.00278306
0.64874990,0.00384249,1.78962416,0.00299677
0.65124990,0.00382515,1.79773519,0.00298092
0.65374990,0.00380392,1.80776955,0.00291764
0.65624990,0.00383253,1.79427465,0.00296664
0.65874990,0.00400029,1.71902987,0.00321678
0.66124990,0.00435785,1.84819505,0.00389475
0.66374990,0.00468069,1.72071963,0.00450788
0.66624990,0.00473150,1.70224089,0.00468673
0.66874990,0.00481689,1.67206670,0.00482425
0.67124990,0.00542844,2.06893386,0.00590721
0.67374990,0.00591448,1.89891520,0.00703512
0.67624990,0.00615374,1.82508297,0.00760552
0.67874990,0.00614564,1.82748955,0.00756180
0.68124990,0.00633729,1.77222204,0.00804181
0.68374990,0.00640442,1.75364704,0.00820793
0.68624990,0.00638357,1.75937627,0.00815317
0.68874990,0.00631573,1.77827348,0.00801227
0.69124990,0.00630898,1.78017567,0.00799618
0.69374990,0.00628097,1.78811403,0.00791882
0.69624990,0.00624233,1.79918255,0.00782601
0.69874990,0.00612122,1.83478169,0.00750388
0.70124990,0.00613387,1.83099512,0.00754156
0.70374990,0.00646254,1.73787483,0.00840992
0.70624990,0.00711674,1.93220961,0.01037196
0.70874990,0.00787247,2.04393596,0.01288209
0.71124990,0.00791319,2.03341655,0.01303278
0.71374990,0.00771446,2.08579907,0.01219018
0.71624990,0.00804358,2.00045486,0.01300713
0.71874990,0.00872578,1.84405421,0.01524096
0.72124990,0.00908992,1.77018222,0.01655062
0.72374990,0.00897678,1.79249390,0.01613194
0.72624990,0.00878744,1.83111611,0.01545190
0.72874990,0.00879345,1.82986439,0.01547155
0.73124990,0.00858808,1.87362223,0.01477429
0.73374990,0.00859509,1.87209401,0.01498203
0.73624990,0.00861779,1.86716221,0.01537230
0.73874990,0.00889937,1.80808555,0.01669860
0.74124990,0.00890754,1.80642548,0.01674480
0.74374990,0.00886029,1.81605981,0.01626278
0.74624990,0.00936386,1.71839593,0.01774707
0.74874990,0.01024421,1.83263193,0.02103817
0.75124990,0.01082986,1.73352874,0.02372179
0.75374990,0.01089915,1.72250808,0.02404640
0.75624990,0.01052802,1.78322970,0.02228124
0.75874990,0.00994541,1.88769200,0.01997026
0.76124990,0.00980990,1.91376729,0.01944694
0.76374990,0.00995911,1.88509506,0.02024924
0.76624990,0.00969679,1.93609089,0.01916464
0.76874990,0.00904436,2.07575519,0.01637849
0.77124990,0.00834301,2.25025078,0.01409981
0.77374990,0.00812960,2.30932248,0.01337995
0.77624990,0.00821970,2.28401014,0.01359791
0.77874990,0.00854890,2.19605784,0.01482774
0.78124990,0.00864064,2.17274189,0.01506372
0.78374990,0.00860581,2.18153590,0.01492201
0.78624990,0.00847047,2.21639107,0.01457632
0.78874990,0.00818833,2.29275960,0.01353411
0.79124990,0.00823252,2.28045256,0.01393796
0.79374990,0.00829911,2.26215446,0.01417375
0.79624990,0.00768896,2.44166488,0.01192164
0.79874990,0.00652040,2.42944840,0.00867890
0.80124990,0.00571937,1.86644486,0.00663987
0.80374990,0.00569042,1.87594027,0.00658010
0.80624990,0.00607587,1.80857698,0.00752208
0.80874990,0.00633800,1.73377755,0.00808188
0.81124990,0.00627322,1.75168258,0.00806951
0.81374990,0.00608462,1.80597867,0.00764948
0.81624990,0.00628149,1.74937713,0.00803450
0.81874990,0.00662845,1.65780648,0.00887221
0.82124990,0.00687733,1.59781212,0.00947424
0.82374990,0.00687925,1.59736803,0.00947963
0.82624990,0.00678315,1.61999753,0.00924753
0.82874990,0.00637093,1.72481676,0.00830888
0.83124990,0.00627098,1.75230633,0.00824493
0.83374990,0.00619229,1.77457661,0.00833883
0.83624990,0.00618502,1.77666110,0.00823318
0.83874990,0.00621498,1.76809643,0.00809936
0.84124990,0.00625260,1.75745852,0.00804863
0.84374990,0.00627183,1.75206938,0.00787942
0.84624990,0.00636093,1.72752893,0.00818393
0.84874990,0.00634258,1.73252627,0.00815239
0.85124990,0.00629535,1.74552361,0.00847815
0.85374990,0.00587286,1.87109736,0.00773321
0.85624990,0.00544564,1.74794311,0.00774733
0.85874990,0.00503946,1.88882714,0.00733384
0.86124990,0.00500454,1.90200641,0.00756580
0.86374990,0.00500258,1.90275219,0.00721964
0.86624990,0.00486690,1.95579737,0.00599346
0.86874990,0.00494367,2.07932588,0.00573861
0.87124990,0.00505694,2.03275045,0.00521806
0.87374990,0.00545454,1.88457786,0.00622563
0.87624990,0.00564957,1.81951911,0.00655535
0.87874990,0.00564523,1.82091858,0.00653985
0.88124990,0.00564873,1.81978779,0.00658038
0.88374990,0.00587889,1.74854354,0.00694752
0.88624990,0.00615179,1.67097521,0.00773028
0.88874990,0.00615196,1.67093144,0.00773066
0.89124990,0.00601118,1.71006320,0.00726057
0.89374990,0.00631884,1.68197648,0.00835285
0.89624990,0.00681107,1.89564153,0.00979532
0.89874990,0.00733676,1.75981488,0.01218021
0.90124990,0.00755620,1.70870749,0.01357759
0.90374990,0.00764229,1.68945985,0.01443459
0.90624990,0.00756526,1.70666264,0.01457843
0.90874990,0.00782404,1.65021489,0.01472496
0.91124990,0.00839868,1.62941756,0.01583049
0.91374990,0.00957605,2.18062021,0.01898167
0.91624990,0.01034900,2.01775318,0.02151856
0.91874990,0.01054102,1.98099544,0.02242029
0.92124990,0.01030309,2.02674309,0.02158497
0.92374990,0.01010466,2.06654279,0.02135248
0.92624990,0.00998060,2.09223140,0.02115442
0.92874990,0.01001241,2.08558420,0.02167056
0.93124990,0.00999080,2.09009377,0.02145071
0.93374990,0.00996918,2.09462737,0.02055042
0.93624990,0.01048594,1.99140070,0.02238809
0.93874990,0.01148366,1.84910841,0.02645956
0.94124990,0.01240591,1.71164678,0.03153933
0.94374990,0.01255004,1.69198961,0.03230363
0.94624990,0.01221733,1.73806657,0.03016918
0.94874990,0.01212001,1.75202342,0.02982657
0.95124990,0.01257624,1.68846441,0.03202369
0.95374990,0.01335427,1.59009361,0.03752362
0.95624990,0.01370573,1.54931841,0.04002858
0.95874990,0.01364200,1.55655677,0.03950246
0.96124990,0.01330826,1.59559106,0.03705574
0.96374990,0.01257231,1.68899274,0.03185469
