# Time (seconds),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0024999,2.981978178024292,1.4718354940414429,9.578003883361816,0.3662109375,1.0986328125,-91.217041015625
0.0074999,1.875258445739746,1.0301052331924438,9.616311073303223,-1.77001953125,-4.425048828125,-94.54345703125
0.012499900000000001,0.6757634282112122,0.628477931022644,9.655217170715332,-1.52587890625,-2.9296875,-95.367431640625
0.0174999,-0.13826514780521393,0.011372458189725876,9.723451614379883,-0.885009765625,-2.105712890625,-79.4677734375
0.0224999,-0.8936358094215393,-0.5829881429672241,9.814431190490723,-2.777099609375,1.068115234375,-63.53759765625
0.0274999,-1.5825673341751099,-1.2342109680175781,9.870096206665039,-1.40380859375,1.373291015625,-31.951904296875
0.0324999,-1.8351556062698364,-1.6328455209732056,9.897629737854004,-0.732421875,-3.204345703125,7.9345703125
0.0374999,-2.053626537322998,-1.8710685968399048,9.86770248413086,-0.885009765625,-5.218505859375,31.25
0.0424999,-1.9955670833587646,-1.8213889598846436,9.86889934539795,0.42724609375,-0.762939453125,50.567626953125
0.0474999,-1.8842366933822632,-1.5807716846466064,9.821614265441895,1.190185546875,0,79.4677734375
0.0524999,-1.9734207391738892,-1.1264718770980835,9.797672271728516,1.068115234375,0.8544921875,107.666015625
0.0574999,-1.9865888357162476,-0.7649474143981934,9.697115898132324,1.708984375,2.99072265625,118.2861328125
0.0624999,-1.723825216293335,-0.24361002445220947,9.694122314453125,1.312255859375,-0.42724609375,131.2255859375
0.0674999,-0.8433575630187988,0.06763619929552078,9.677363395690918,3.875732421875,-1.007080078125,106.719970703125
0.0724999,0.595557689666748,0.5165489912033081,9.758167266845703,1.28173828125,3.326416015625,65.582275390625
0.0774999,2.2691047191619873,0.9816226959228516,9.84256362915039,1.03759765625,3.814697265625,5.279541015625
0.0824999,3.560776472091675,1.426345705986023,9.736021041870117,3.875732421875,6.622314453125,-51.666259765625
0.0874999,4.2993879318237305,1.680729627609253,9.758766174316406,-0.42724609375,-2.777099609375,-82.122802734375
0.0924999,4.045003890991211,1.6741455793380737,9.636063575744629,-3.814697265625,0.152587890625,-92.529296875
0.0974999,3.1896753311157227,1.492186188697815,9.582193374633789,-0.274658203125,1.617431640625,-91.36962890625
0.1024999,2.1045033931732178,1.0767922401428223,9.643245697021484,-1.312255859375,-3.814697265625,-91.033935546875
0.1074999,0.8870517015457153,0.6823474764823914,9.606135368347168,-1.77001953125,-2.86865234375,-94.78759765625
0.1124999,-0.013766659423708916,0.10354922711849213,9.697115898132324,-0.946044921875,-2.62451171875,-79.65087890625
0.1174999,-0.7134721279144287,-0.5309142470359802,9.736021041870117,-2.044677734375,0.274658203125,-65.032958984375
0.1224999,-1.400607943534851,-1.1635819673538208,9.809642791748047,-2.13623046875,1.983642578125,-38.57421875
0.1274999,-1.7447744607925415,-1.6226701736450195,9.817423820495605,-0.79345703125,-1.373291015625,-0.152587890625
0.1324999,-1.9357120990753174,-1.867477297782898,9.806650161743164,-0.823974609375,-6.28662109375,28.99169921875
0.1374999,-2.0470423698425293,-1.8166005611419678,9.835979461669922,0.213623046875,-1.220703125,45.501708984375
0.1424999,-1.9620482921600342,-1.5825673341751099,9.817423820495605,0.91552734375,0.54931640625,74.188232421875
0.1474999,-2.142810583114624,-1.1623848676681519,9.80904483795166,0.9765625,0.8544921875,105.77392578125
0.1524999,-2.094926595687866,-0.788889467716217,9.717466354370117,1.40380859375,2.44140625,115.66162109375
0.1574999,-1.932719349861145,-0.34416648745536804,9.703699111938477,1.129150390625,0.54931640625,130.645751953125
0.1624999,-0.9953893423080444,-0.009576806798577309,9.68574333190918,4.0283203125,-1.40380859375,112.091064453125
0.1674999,0.39145198464393616,0.4076128304004669,9.791686058044434,1.251220703125,2.532958984375,73.486328125
0.1724999,2.137423515319824,0.8864531517028809,9.849146842956543,1.64794921875,3.84521484375,14.95361328125
0.17749990000000002,3.4811692237854004,1.3569138050079346,9.784503936767578,2.5634765625,6.072998046875,-45.623779296875
0.1824999,3.4811692237854004,1.3569138050079346,9.784503936767578,2.5634765625,6.072998046875,-45.623779296875
0.1874999,4.31135892868042,1.647210717201233,9.77133560180664,0.274658203125,-1.129150390625,-79.65087890625
0.1924999,4.173692226409912,1.6639702320098877,9.627683639526367,-2.197265625,-0.396728515625,-90.4541015625
0.1974999,3.397970676422119,1.4724340438842773,9.665990829467773,-1.861572265625,1.312255859375,-91.796875
0.2024999,2.2433669567108154,1.0522516965866089,9.695918083190918,-0.885009765625,-3.35693359375,-90.301513671875
0.20749990000000001,1.0504560470581055,0.6386532783508301,9.713275909423828,-1.739501953125,-2.655029296875,-95.15380859375
0.2124999,-0.031124621629714966,0.11791443079710007,9.797672271728516,-1.15966796875,-2.655029296875,-81.268310546875
0.2174999,-0.7565677165985107,-0.4704606235027313,9.761159896850586,-1.678466796875,-0.9765625,-66.009521484375
0.2224999,-1.4000093936920166,-1.028908133506775,9.784503936767578,-2.13623046875,1.739501953125,-41.259765625
0.2274999,-1.7962498664855957,-1.4269442558288574,9.662399291992188,-1.15966796875,-0.274658203125,-6.591796875
0.2324999,-1.8860323429107666,-1.6927006244659424,9.680954933166504,-0.823974609375,-6.16455078125,22.4609375
0.2374999,-2.0410568714141846,-1.6927006244659424,9.651026725769043,0.42724609375,-2.044677734375,40.374755859375
0.2424999,-1.9375077486038208,-1.5203180313110352,9.743802070617676,0.579833984375,0.335693359375,72.93701171875
0.2474999,-1.9596540927886963,-1.2419921159744263,9.797073364257812,0.701904296875,1.922607421875,103.729248046875
0.2524999,-2.010530948638916,-0.8750807046890259,9.786897659301758,1.15966796875,1.800537109375,111.236572265625
0.2574999,-1.7908629179000854,-0.48482584953308105,9.809642791748047,1.46484375,0.67138671875,125.67138671875
0.2624999,-1.0552444458007812,-0.10055647045373917,9.762955665588379,4.33349609375,-0.732421875,110.931396484375
0.2674999,0.19871874153614044,0.2908954918384552,9.832387924194336,0.8544921875,2.01416015625,76.2939453125
0.2724999,1.9003976583480835,0.751779317855835,9.854534149169922,2.197265625,3.662109375,22.3388671875
0.2774999,3.2597055435180664,1.2270283699035645,9.75517463684082,2.50244140625,5.43212890625,-35.64453125
