# Time (seconds),X,Y,Z
0.0012499,-0.3687070608139038,-0.2346317619085312,9.710882186889648
0.0037499,-0.3519476354122162,-0.2585737705230713,9.804255485534668
0.0062499,-0.4381389021873474,-0.24660277366638184,9.672574996948242
0.0087499,-0.3423708379268646,-0.2537853717803955,9.775525093078613
0.0112499,-0.42377370595932007,-0.42616790533065796,9.706093788146973
0.0137499,-0.40462008118629456,-0.33039984107017517,9.794678688049316
0.016249899999999998,-0.4908113479614258,-0.6943184733390808,9.624691009521484
0.0187499,-0.43335050344467163,-0.21308395266532898,9.780313491821289
0.021249900000000002,-0.4165911078453064,-0.6272808313369751,9.713275909423828
0.023749899999999997,-0.4213795065879822,-0.08858546614646912,9.837775230407715
0.0262499,-0.545877993106842,-0.6177040338516235,9.832986831665039
0.028749900000000002,-0.3711012601852417,0.035913024097681046,9.950302124023438
0.031249899999999997,-0.45010992884635925,-0.5530605912208557,9.919178009033203
0.0337499,-0.38067805767059326,0.047884032130241394,9.988609313964844
0.0362499,-0.38307225704193115,-0.3998316824436188,10.041281700134277
0.0387499,-0.3016694188117981,0.026336219161748886,9.864110946655273
0.0412499,-0.42377370595932007,-0.4812345504760742,9.895236015319824
0.0437499,-0.40940847992897034,-0.043095629662275314,9.765948295593262
0.0462499,-0.43335050344467163,-0.33758243918418884,9.909601211547852
0.0487499,-0.37828385829925537,-0.1628057211637497,9.703699111938477
0.0512499,-0.37828385829925537,-0.3734954595565796,9.84256362915039
0.053749899999999996,-0.4572925269603729,-0.2298433631658554,9.706093788146973
0.0562499,-0.3758896589279175,-0.2561795711517334,9.840168952941895
0.0587499,-0.42856210470199585,-0.3711012601852417,9.725247383117676
0.061249899999999996,-0.4381389021873474,-0.33039984107017517,9.828198432922363
0.0637499,-0.5147533416748047,-0.5027823448181152,9.651026725769043
0.0662499,-0.42377370595932007,-0.3064578175544739,9.792284965515137
0.0687499,-0.42856210470199585,-0.5482721924781799,9.72285270690918
0.0712499,-0.3998316824436188,-0.21547815203666687,9.801861763000488
0.0737499,-0.524330198764801,-0.7613561153411865,9.751583099365234
0.0762499,-0.42856210470199585,-0.026336219161748886,9.86889934539795
0.0787499,-0.43335050344467163,-0.6009446382522583,9.816226959228516
0.0812499,-0.40701428055763245,0.10055647045373917,9.926360130310059
0.0837499,-0.4429273009300232,-0.3256114423274994,9.931148529052734
0.0862499,-0.2777273952960968,0.090979665517807,9.895236015319824
