time,rms,crest_factor,total_fft_energy
0.23908009,0.11857956,1.66693966,2.86514882
0.24157050,0.11857025,1.66707052,2.86603690
0.24406092,0.12148140,1.62712128,2.96014986
0.24655134,0.12002547,1.64685862,2.96394410
0.24904176,0.11383799,1.73637094,2.69505143
0.25153217,0.10686131,1.84973371,2.52340679
0.25402259,0.10043125,1.96816194,2.30261972
0.25651301,0.10256407,1.92723403,2.32690820
0.25900343,0.10302524,1.91860719,2.32918638
0.26149384,0.10296519,1.91972619,2.32476218
0.26398426,0.10338735,1.91188750,2.36445603
0.26647468,0.10187342,1.94029975,2.52233359
0.26896510,0.09532184,2.07365880,2.37279279
0.27145552,0.09475340,2.08609895,2.17282574
0.27394593,0.08876433,2.22685136,1.79118163
0.27643635,0.08133434,1.90493979,1.36355258
0.27892677,0.07369874,1.81820587,1.10129425
0.28141719,0.06746410,1.78908272,0.91092078
0.28390760,0.06887906,1.75233022,0.95427396
0.28639802,0.06887180,1.75251491,0.95405973
0.28888844,0.07056525,1.71045744,0.99621776
0.29137886,0.07161640,1.68535221,1.03063750
0.29386927,0.06844281,1.71605009,0.97317363
0.29635969,0.06521591,1.80096068,0.89792393
0.29885011,0.06360648,1.84653039,0.87492311
0.30134053,0.06446433,1.82195779,0.88883270
0.30383094,0.06267139,1.87408163,0.82608147
0.30632136,0.06260969,1.87592840,0.82439579
0.30881178,0.06337433,1.85329432,0.85043980
0.31130220,0.06378013,1.84150281,0.88981300
0.31379261,0.06650819,1.76596724,0.94274948
0.31628303,0.06586401,1.78323942,0.92929840
0.31877345,0.07049500,1.66609398,1.03457783
0.32126387,0.06861200,1.71181844,0.94996664
0.32375428,0.06577305,1.78570549,0.87395827
0.32624470,0.06124717,1.84036729,0.75155366
0.32873512,0.06251870,1.80293724,0.78419330
0.33122554,0.06353207,1.77417952,0.80966255
0.33371595,0.06203186,1.81708702,0.77831781
0.33620637,0.06282278,1.79421044,0.80101920
0.33869679,0.06173129,1.82593442,0.77010649
0.34118721,0.06371143,1.76918484,0.81708696
0.34367762,0.06656436,1.72023981,0.89834096
0.34616804,0.06664115,1.71825754,0.90510155
0.34865846,0.06727314,1.70211551,0.91733196
0.35114888,0.06721729,1.70352993,0.91606311
0.35363929,0.07247152,1.73188376,1.06150198
0.35612971,0.06938229,1.80899549,0.96967674
0.35862013,0.06811803,1.84257004,0.95504117
0.36111055,0.06690346,1.87602038,0.92883994
