time,rms,crest_factor,total_fft_energy
0.02624990,0.09084425,2.27422046,1.71234826
0.02874990,0.09084312,2.27424878,1.71343961
0.03124990,0.09416277,2.19407148,1.79854873
0.03374990,0.09307806,2.21964069,1.78078288
0.03624990,0.09618023,2.14804909,1.92077988
0.03874990,0.09555895,2.16201475,1.91697598
0.04124990,0.10286562,2.00844418,2.30393249
0.04374990,0.09885025,2.09002874,2.19833632
0.04624990,0.10125656,2.04036028,2.36093075
0.04874990,0.10021666,2.06153204,2.34848683
0.05124990,0.10067282,2.05219107,2.43507319
0.05374990,0.10063697,2.05292200,2.43206184
0.05624990,0.09696199,2.13073030,2.42065601
0.05874990,0.09650543,2.14081073,2.39605624
0.06124990,0.09355437,2.20834005,2.34062040
0.06374990,0.08242689,2.08479484,1.85844907
0.06624990,0.08377662,2.05120659,1.83574358
0.06874990,0.08285860,2.07393259,1.79019276
0.07124990,0.09009607,1.97280587,1.78959014
0.07374990,0.09016557,1.97128514,1.75603674
0.07624990,0.08803764,2.01893245,1.56325904
0.07874990,0.08919108,1.99282326,1.60057636
0.08124990,0.08687589,2.04593069,1.52864456
0.08374990,0.08876221,2.00245182,1.60187176
0.08624990,0.08526566,2.08456778,1.52791654
0.08874990,0.09087942,1.95580094,1.76572194
0.09124990,0.08342557,2.13054649,1.57656863
0.09374990,0.08597505,2.06736779,1.69256925
0.09624990,0.08307044,2.13965475,1.67922929
0.09874990,0.08914405,1.99387458,1.96550977
0.10124990,0.08846742,2.00912444,1.98935380
0.10374990,0.09004617,1.97389905,2.15197552
0.10624990,0.09012528,1.97216642,2.17080809
0.10874990,0.08799305,2.01995560,2.15880501
0.11124990,0.08825044,2.01406436,2.17240443
0.11374990,0.08828960,2.01317085,2.17247458
0.11624990,0.09053406,1.96326181,2.30228071
0.11874990,0.10054343,1.96366193,2.52021822
0.12124990,0.09239571,2.13682320,2.02016814
0.12374990,0.09416883,2.09658857,1.97642283
0.12624990,0.09137099,2.16078748,1.76955367
0.12874990,0.09228201,2.13945591,1.75965443
0.13124990,0.09256500,2.13291530,1.71888551
0.13374990,0.09075533,2.17544587,1.64786669
0.13624990,0.09438013,2.09189474,1.79267874
0.13874990,0.08907585,2.21646285,1.61558912
0.14124990,0.09135106,2.16125900,1.71034683
0.14374990,0.08848533,2.23125454,1.64034538
0.14624990,0.09795116,2.01562996,2.08753050
