# Time (seconds),X,Y,Z
0.0012499,-0.2537853717803955,-0.3016694188117981,9.823410034179688
0.0037499,-0.2537853717803955,-0.2992752194404602,9.828198432922363
0.0062499,-0.2513911724090576,-0.2968810200691223,9.832986831665039
0.0087499,-0.2537853717803955,-0.2968810200691223,9.84495735168457
0.0112499,-0.24899697303771973,-0.2992752194404602,9.849745750427246
0.0137499,-0.24899697303771973,-0.2992752194404602,9.849745750427246
0.016249899999999998,-0.24420857429504395,-0.304063618183136,9.84495735168457
0.0187499,-0.24420857429504395,-0.304063618183136,9.84256362915039
0.021249900000000002,-0.24181437492370605,-0.304063618183136,9.84256362915039
0.023749899999999997,-0.24420857429504395,-0.3016694188117981,9.84256362915039
0.0262499,-0.24420857429504395,-0.304063618183136,9.84256362915039
0.028749900000000002,-0.24420857429504395,-0.304063618183136,9.84256362915039
0.031249899999999997,-0.24181437492370605,-0.3064578175544739,9.837775230407715
0.0337499,-0.24181437492370605,-0.3064578175544739,9.840168952941895
0.0362499,-0.24420857429504395,-0.3064578175544739,9.84256362915039
0.0387499,-0.24899697303771973,-0.30885201692581177,9.840168952941895
0.0412499,-0.2537853717803955,-0.3064578175544739,9.840168952941895
0.0437499,-0.2585737705230713,-0.3064578175544739,9.837775230407715
0.0462499,-0.26096799969673157,-0.304063618183136,9.835380554199219
0.0487499,-0.26096799969673157,-0.3016694188117981,9.835380554199219
0.0512499,-0.2585737705230713,-0.2968810200691223,9.832986831665039
0.053749899999999996,-0.2561795711517334,-0.2944868206977844,9.832986831665039
0.0562499,-0.2585737705230713,-0.29209262132644653,9.835380554199219
0.0587499,-0.26096799969673157,-0.28969839215278625,9.832986831665039
0.061249899999999996,-0.26336219906806946,-0.2944868206977844,9.835380554199219
0.0637499,-0.26336219906806946,-0.2968810200691223,9.835380554199219
0.0662499,-0.26096799969673157,-0.2992752194404602,9.837775230407715
0.0687499,-0.24899697303771973,-0.3016694188117981,9.840168952941895
0.0712499,-0.23942017555236816,-0.3016694188117981,9.84495735168457
0.0737499,-0.2346317619085312,-0.3016694188117981,9.84495735168457
0.0762499,-0.2322375625371933,-0.3016694188117981,9.84495735168457
0.0787499,-0.2346317619085312,-0.30885201692581177,9.84495735168457
0.0812499,-0.23702596127986908,-0.31124621629714966,9.837775230407715
0.0837499,-0.23942017555236816,-0.31603461503982544,9.835380554199219
0.0862499,-0.23942017555236816,-0.31124621629714966,9.835380554199219
0.0887499,-0.24181437492370605,-0.3064578175544739,9.832986831665039
0.0912499,-0.24899697303771973,-0.3016694188117981,9.835380554199219
