# Time (seconds),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0024999,0.20949265360832214,-0.023343466222286224,9.746196746826172,-0.091552734375,0.06103515625,-0.091552734375
0.0074999,0.20889410376548767,-0.01975216343998909,9.744400978088379,-0.1220703125,0.091552734375,-0.06103515625
0.012499900000000001,0.20530278980731964,-0.01735796220600605,9.747992515563965,0,-0.06103515625,0.030517578125
0.0174999,0.2017114907503128,-0.01496376097202301,9.749189376831055,-0.06103515625,0.030517578125,-0.18310546875
0.0224999,0.2017114907503128,-0.01496376097202301,9.749189376831055,-0.06103515625,0.030517578125,-0.18310546875
0.0274999,0.1999158412218094,-0.013766659423708916,9.749189376831055,-0.06103515625,-0.030517578125,-0.152587890625
0.0324999,0.20051439106464386,-0.016160860657691956,9.751583099365234,-0.06103515625,0.030517578125,-0.030517578125
0.0374999,0.20350714027881622,-0.017956512048840523,9.751583099365234,0.030517578125,-0.091552734375,-0.1220703125
0.0424999,0.2059013396501541,-0.02214636653661728,9.747393608093262,-0.06103515625,-0.030517578125,-0.274658203125
0.0474999,0.20530278980731964,-0.02513911761343479,9.746196746826172,0,-0.030517578125,-0.152587890625
0.0524999,0.20350714027881622,-0.02693476900458336,9.736021041870117,-0.06103515625,0,-0.152587890625
0.0574999,0.2017114907503128,-0.026336219161748886,9.734225273132324,0.091552734375,-0.06103515625,-0.152587890625
0.0624999,0.20051439106464386,-0.02513911761343479,9.729436874389648,0.06103515625,0,-0.213623046875
0.0674999,0.2017114907503128,-0.02513911761343479,9.731831550598145,0.030517578125,-0.1220703125,-0.06103515625
0.0724999,0.20111294090747833,-0.0293289702385664,9.73542308807373,0,0.030517578125,-0.091552734375
0.0774999,0.20051439106464386,-0.028730420395731926,9.742605209350586,-0.091552734375,0.06103515625,-0.18310546875
0.0824999,0.1999158412218094,-0.033518824726343155,9.747992515563965,-0.06103515625,0.06103515625,-0.091552734375
0.0874999,0.19931729137897491,-0.02753331884741783,9.750985145568848,0.1220703125,-0.152587890625,-0.091552734375
0.0924999,0.1999158412218094,-0.026336219161748886,9.750985145568848,-0.091552734375,0.06103515625,-0.335693359375
0.0974999,0.20111294090747833,-0.023343466222286224,9.745597839355469,-0.152587890625,0.06103515625,-0.274658203125
0.1024999,0.2017114907503128,-0.02274491637945175,9.739612579345703,-0.152587890625,-0.06103515625,-0.1220703125
0.1074999,0.2064998894929886,-0.023942016065120697,9.734824180603027,-0.030517578125,-0.091552734375,-0.152587890625
0.1124999,0.2082955539226532,-0.025737667456269264,9.73661994934082,0.030517578125,-0.06103515625,-0.1220703125
0.1174999,0.2124854028224945,-0.028131870552897453,9.739013671875,-0.091552734375,-0.030517578125,-0.18310546875
0.1224999,0.2124854028224945,-0.028730420395731926,9.743802070617676,-0.1220703125,0.06103515625,-0.213623046875
0.1274999,0.21128830313682556,-0.031124621629714966,9.747393608093262,0,-0.030517578125,-0.213623046875
0.1324999,0.20709845423698425,-0.031124621629714966,9.746196746826172,-0.1220703125,0.091552734375,-0.335693359375
