time,rms,total_fft_energy
0.46874990,0.00703383,0.00989495
0.47124990,0.00722732,0.01044683
0.47374990,0.00737598,0.01088101
0.47624990,0.00738742,0.01091478
0.47874990,0.00698821,0.00976702
0.48124990,0.00629877,0.00793491
0.48374990,0.00610193,0.00744670
0.48624990,0.00601706,0.00724100
0.48874990,0.00599513,0.00718832
0.49124990,0.00596579,0.00711812
0.49374990,0.00548306,0.00601279
0.49624990,0.00511030,0.00522303
0.49874990,0.00523682,0.00548485
0.50124990,0.00524294,0.00549768
0.50374990,0.00521631,0.00544197
0.50624990,0.00517506,0.00535625
0.50874990,0.00509653,0.00519493
0.51124990,0.00503790,0.00507608
0.51374990,0.00496598,0.00493219
0.51624990,0.00492324,0.00484766
0.51874990,0.00475350,0.00451916
0.52124990,0.00478413,0.00457758
0.52374990,0.00461386,0.00425754
0.52624990,0.00463085,0.00428895
0.52874990,0.00462924,0.00428597
0.53124990,0.00474885,0.00451032
0.53374990,0.00505032,0.00510115
0.53624990,0.00527286,0.00556062
0.53874990,0.00538538,0.00580047
0.54124990,0.00519561,0.00539887
0.54374990,0.00519262,0.00539267
0.54624990,0.00517364,0.00535332
0.54874990,0.00511040,0.00522324
0.55124990,0.00499200,0.00498401
0.55374990,0.00500435,0.00500870
0.55624990,0.00496579,0.00493182
0.55874990,0.00472744,0.00446974
0.56124990,0.00459132,0.00421605
0.56374990,0.00459049,0.00421451
0.56624990,0.00459826,0.00422880
0.56874990,0.00440295,0.00387720
0.57124990,0.00406717,0.00330838
0.57374990,0.00377069,0.00284361
0.57624990,0.00366889,0.00269214
0.57874990,0.00377084,0.00284385
0.58124990,0.00362789,0.00263231
0.58374990,0.00313681,0.00196792
0.58624990,0.00273273,0.00149356
0.58874990,0.00240300,0.00115488
0.59124990,0.00231909,0.00107564
0.59374990,0.00230118,0.00105908
0.59624990,0.00228985,0.00104868
0.59874990,0.00228348,0.00104286
0.60124990,0.00264104,0.00139502
0.60374990,0.00373160,0.00278497
0.60624990,0.00439685,0.00386646
0.60874990,0.00453315,0.00410990
0.61124990,0.00448671,0.00402612
0.61374990,0.00479260,0.00459380
0.61624990,0.00515416,0.00531308
0.61874990,0.00523569,0.00548249
0.62124990,0.00522390,0.00545784
0.62374990,0.00522306,0.00545607
0.62624990,0.00522284,0.00545562
0.62874990,0.00516336,0.00533206
0.63124990,0.00522419,0.00545843
0.63374990,0.00527372,0.00556242
0.63624990,0.00531846,0.00565721
0.63874990,0.00531406,0.00564784
0.64124990,0.00531685,0.00565379
0.64374990,0.00556332,0.00619011
0.64624990,0.00605248,0.00732649
0.64874990,0.00648054,0.00839949
0.65124990,0.00671623,0.00902156
0.65374990,0.00635069,0.00806626
0.65624990,0.00591656,0.00700114
0.65874990,0.00582149,0.00677795
0.66124990,0.00587744,0.00690887
0.66374990,0.00563878,0.00635917
0.66624990,0.00540589,0.00584472
0.66874990,0.00558440,0.00623710
0.67124990,0.00592832,0.00702899
0.67374990,0.00620245,0.00769408
0.67624990,0.00623928,0.00778573
0.67874990,0.00623442,0.00777360
0.68124990,0.00629849,0.00793419
0.68374990,0.00657068,0.00863477
0.68624990,0.00689539,0.00950927
0.68874990,0.00714287,0.01020412
0.69124990,0.00722455,0.01043883
0.69374990,0.00703316,0.00989308
0.69624990,0.00667117,0.00890089
0.69874990,0.00626008,0.00783773
0.70124990,0.00628612,0.00790306
0.70374990,0.00657271,0.00864011
0.70624990,0.00705213,0.00994650
0.70874990,0.00725641,0.01053111
0.71124990,0.00723087,0.01045710
0.71374990,0.00723088,0.01045712
0.71624990,0.00718872,0.01033555
0.71874990,0.00711025,0.01011113
0.72124990,0.00692640,0.00959500
0.72374990,0.00713360,0.01017764
0.72624990,0.00742573,0.01102830
0.72874990,0.00792012,0.01254566
0.73124990,0.00806541,0.01301018
0.73374990,0.00790516,0.01249831
0.73624990,0.00759169,0.01152676
0.73874990,0.00739041,0.01092364
0.74124990,0.00731244,0.01069435
0.74374990,0.00734123,0.01077873
0.74624990,0.00728912,0.01062625
0.74874990,0.00721535,0.01041226
0.75124990,0.00689259,0.00950157
0.75374990,0.00643646,0.00828560
0.75624990,0.00596132,0.00710747
0.75874990,0.00595441,0.00709100
0.76124990,0.00624750,0.00780626
0.76374990,0.00629167,0.00791701
0.76624990,0.00625497,0.00782493
0.76874990,0.00607699,0.00738597
0.77124990,0.00593867,0.00705355
0.77374990,0.00560280,0.00627827
0.77624990,0.00563471,0.00634999
0.77874990,0.00546267,0.00596816
0.78124990,0.00523305,0.00547697
0.78374990,0.00508613,0.00517375
0.78624990,0.00554754,0.00615504
0.78874990,0.00641934,0.00824160
0.79124990,0.00770893,0.01188551
0.79374990,0.00816811,0.01334360
0.79624990,0.00850958,0.01448258
0.79874990,0.00851331,0.01449528
0.80124990,0.00846314,0.01432493
0.80374990,0.00847014,0.01434865
0.80624990,0.00844865,0.01427595
0.80874990,0.00841115,0.01414949
0.81124990,0.00827617,0.01369899
0.81374990,0.00838318,0.01405553
0.81624990,0.00839146,0.01408333
0.81874990,0.00844310,0.01425718
0.82124990,0.00847939,0.01438002
0.82374990,0.00847753,0.01437369
0.82624990,0.00818057,0.01338434
0.82874990,0.00797142,0.01270869
0.83124990,0.00849157,0.01442136
0.83374990,0.00942474,0.01776513
0.83624990,0.00979466,0.01918709
0.83874990,0.00928722,0.01725048
0.84124990,0.00835657,0.01396645
0.84374990,0.00797109,0.01270766
0.84624990,0.00813660,0.01324085
0.84874990,0.00880124,0.01549237
0.85124990,0.00941705,0.01773617
0.85374990,0.00971504,0.01887638
0.85624990,0.00990359,0.01961623
0.85874990,0.00994021,0.01976157
0.86124990,0.00990838,0.01963521
0.86374990,0.00982463,0.01930466
0.86624990,0.00984523,0.01938571
0.86874990,0.00979897,0.01920396
0.87124990,0.00976830,0.01908395
0.87374990,0.00965021,0.01862532
0.87624990,0.00964745,0.01861466
0.87874990,0.00954470,0.01822026
0.88124990,0.00932253,0.01738193
0.88374990,0.00888989,0.01580603
0.88624990,0.00931451,0.01735203
0.88874990,0.01062904,0.02259531
0.89124990,0.01131028,0.02558447
0.89374990,0.01154315,0.02664884
0.89624990,0.01117487,0.02497553
0.89874990,0.01074018,0.02307031
0.90124990,0.01053762,0.02220828
0.90374990,0.01051117,0.02209694
0.90624990,0.01059641,0.02245680
0.90874990,0.01057589,0.02236990
0.91124990,0.01090266,0.02377359
0.91374990,0.01113921,0.02481642
0.91624990,0.01131739,0.02561667
0.91874990,0.01140587,0.02601879
0.92124990,0.01140445,0.02601228
0.92374990,0.01149591,0.02643118
0.92624990,0.01161950,0.02700255
0.92874990,0.01176545,0.02768519
0.93124990,0.01165143,0.02715115
0.93374990,0.01137091,0.02585954
0.93624990,0.01047625,0.02195038
0.93874990,0.00908535,0.01650873
0.94124990,0.00815263,0.01329306
0.94374990,0.00782566,0.01224820
0.94624990,0.00782667,0.01225135
0.94874990,0.00768875,0.01182338
0.95124990,0.00722605,0.01044315
0.95374990,0.00685344,0.00939393
0.95624990,0.00641930,0.00824148
0.95874990,0.00627299,0.00787009
0.96124990,0.00600154,0.00720371
0.96374990,0.00578778,0.00669967
0.96624990,0.00562526,0.00632871
0.96874990,0.00546358,0.00597013
0.97124990,0.00548088,0.00600800
0.97374990,0.00534958,0.00572360
0.97624990,0.00507642,0.00515400
0.97874990,0.00473138,0.00447720
0.98124990,0.00439340,0.00386040
0.98374990,0.00424348,0.00360142
0.98624990,0.00431207,0.00371878
0.98874990,0.00435627,0.00379541
0.99124990,0.00427527,0.00365559
0.99374990,0.00410258,0.00336623
0.99624990,0.00410778,0.00337477
0.99874990,0.00416603,0.00347116
1.00124990,0.00415228,0.00344829
1.00374990,0.00415446,0.00345191
1.00624990,0.00417493,0.00348600
1.00874990,0.00407211,0.00331642
1.01124990,0.00374295,0.00280194
1.01374990,0.00348968,0.00243557
1.01624990,0.00313958,0.00197140
1.01874990,0.00314984,0.00198430
1.02124990,0.00315004,0.00198454
1.02374990,0.00308919,0.00190861
1.02624990,0.00307677,0.00189331
1.02874990,0.00311826,0.00194471
1.03124990,0.00312851,0.00195752
1.03374990,0.00303888,0.00184696
1.03624990,0.00299226,0.00179073
1.03874990,0.00295675,0.00174847
1.04124990,0.00355186,0.00252314
1.04374990,0.00416558,0.00347040
1.04624990,0.00427551,0.00365600
1.04874990,0.00429882,0.00369598
1.05124990,0.00430086,0.00369948
1.05374990,0.00436296,0.00380708
1.05624990,0.00431669,0.00372677
1.05874990,0.00436648,0.00381323
1.06124990,0.00414032,0.00342845
1.06374990,0.00404554,0.00327328
1.06624990,0.00419605,0.00352137
1.06874990,0.00416390,0.00346762
1.07124990,0.00414534,0.00343677
1.07374990,0.00416830,0.00347495
1.07624990,0.00431449,0.00372296
1.07874990,0.00447956,0.00401329
1.08124990,0.00466730,0.00435673
1.08374990,0.00466030,0.00434368
1.08624990,0.00461394,0.00425769
1.08874990,0.00457098,0.00417878
1.09124990,0.00420049,0.00352881
1.09374990,0.00359178,0.00258017
1.09624990,0.00364776,0.00266123
1.09874990,0.00369046,0.00272390
1.10124990,0.00391330,0.00306278
1.10374990,0.00389467,0.00303370
1.10624990,0.00390687,0.00305273
1.10874990,0.00392561,0.00308209
1.11124990,0.00438212,0.00384060
1.11374990,0.00462327,0.00427492
1.11624990,0.00505569,0.00511200
1.11874990,0.00531400,0.00564773
1.12124990,0.00540130,0.00583482
1.12374990,0.00536955,0.00576641
1.12624990,0.00528328,0.00558260
1.12874990,0.00507210,0.00514523
1.13124990,0.00490473,0.00481128
1.13374990,0.00491698,0.00483534
1.13624990,0.00495043,0.00490134
1.13874990,0.00495023,0.00490096
1.14124990,0.00503371,0.00506766
1.14374990,0.00539311,0.00581712
1.14624990,0.00567899,0.00645018
1.14874990,0.00588538,0.00692755
1.15124990,0.00595269,0.00708692
1.15374990,0.00620009,0.00768822
1.15624990,0.00652475,0.00851447
1.15874990,0.00703487,0.00989788
1.16124990,0.00750421,0.01126265
1.16374990,0.00802645,0.01288478
1.16624990,0.00803537,0.01291344
1.16874990,0.00795709,0.01266307
1.17124990,0.00799926,0.01279763
1.17374990,0.00825027,0.01361339
1.17624990,0.00867728,0.01505903
1.17874990,0.00880375,0.01550120
1.18124990,0.00888740,0.01579719
1.18374990,0.00885425,0.01567956
1.18624990,0.00884655,0.01565230
1.18874990,0.00895092,0.01602379
1.19124990,0.00911891,0.01663089
1.19374990,0.00920534,0.01694765
1.19624990,0.00909547,0.01654550
1.19874990,0.00891756,0.01590458
1.20124990,0.00894797,0.01601324
1.20374990,0.00908512,0.01650789
1.20624990,0.00909899,0.01655832
1.20874990,0.00878476,0.01543439
1.21124990,0.00814361,0.01326367
1.21374990,0.00751592,0.01129780
1.21624990,0.00749260,0.01122781
1.21874990,0.00795664,0.01266161
1.22124990,0.00824547,0.01359755
1.22374990,0.00827421,0.01369251
1.22624990,0.00782004,0.01223061
1.22874990,0.00773564,0.01196804
1.23124990,0.00773400,0.01196296
1.23374990,0.00798492,0.01275178
1.23624990,0.00825300,0.01362239
1.23874990,0.00859836,0.01478636
1.24124990,0.00915813,0.01677429
1.24374990,0.00962419,0.01852501
1.24624990,0.01038338,0.02156292
1.24874990,0.01072658,0.02301189
1.25124990,0.01062872,0.02259393
1.25374990,0.01035961,0.02146432
1.25624990,0.01018015,0.02072708
1.25874990,0.01022908,0.02092681
1.26124990,0.01033069,0.02134463
1.26374990,0.01040852,0.02166746
1.26624990,0.01023987,0.02097099
1.26874990,0.00989066,0.01956505
1.27124990,0.00963075,0.01855025
1.27374990,0.00939845,0.01766618
1.27624990,0.00943713,0.01781187
1.27874990,0.00956075,0.01828160
1.28124990,0.00969072,0.01878203
1.28374990,0.00998506,0.01994027
1.28624990,0.01011281,0.02045380
1.28874990,0.00998938,0.01995755
1.29124990,0.00923574,0.01705978
1.29374990,0.00847539,0.01436644
1.29624990,0.00744812,0.01109489
1.29874990,0.00700272,0.00980761
1.30124990,0.00693154,0.00960926
1.30374990,0.00697550,0.00973152
1.30624990,0.00696041,0.00968945
1.30874990,0.00684366,0.00936714
1.31124990,0.00683375,0.00934001
1.31374990,0.00683338,0.00933901
1.31624990,0.00709471,0.01006697
1.31874990,0.00728378,0.01061070
1.32124990,0.00732470,0.01073023
1.32374990,0.00740206,0.01095809
1.32624990,0.00738017,0.01089337
1.32874990,0.00759977,0.01155130
1.33124990,0.00837305,0.01402158
1.33374990,0.00895483,0.01603780
1.33624990,0.00902888,0.01630412
1.33874990,0.00897636,0.01611500
1.34124990,0.00898508,0.01614635
1.34374990,0.00904052,0.01634622
1.34624990,0.00896587,0.01607737
1.34874990,0.00891488,0.01589501
1.35124990,0.00891621,0.01589974
1.35374990,0.00890306,0.01585288
1.35624990,0.00889675,0.01583042
1.35874990,0.00889545,0.01582580
1.36124990,0.00898324,0.01613973
1.36374990,0.00890070,0.01584450
1.36624990,0.00869904,0.01513465
1.36874990,0.00848250,0.01439057
1.37124990,0.00839751,0.01410363
1.37374990,0.00831074,0.01381366
1.37624990,0.00831854,0.01383963
1.37874990,0.00792062,0.01254724
1.38124990,0.00683735,0.00934986
1.38374990,0.00518922,0.00538560
1.38624990,0.00428786,0.00367714
1.38874990,0.00377453,0.00284942
1.39124990,0.00382669,0.00292871
1.39374990,0.00366067,0.00268010
1.39624990,0.00367499,0.00270111
1.39874990,0.00374703,0.00280805
1.40124990,0.00393419,0.00309556
1.40374990,0.00389818,0.00303916
1.40624990,0.00405350,0.00328617
1.40874990,0.00422919,0.00357721
1.41124990,0.00424761,0.00360843
1.41374990,0.00425335,0.00361819
1.41624990,0.00399182,0.00318693
1.41874990,0.00426207,0.00363304
1.42124990,0.00566879,0.00642704
1.42374990,0.00706447,0.00998136
1.42624990,0.00835970,0.01397691
1.42874990,0.00904899,0.01637683
1.43124990,0.00925745,0.01714008
1.43374990,0.00925702,0.01713849
