time,x,y,z
38.0112499,-0.454898327589035,-0.2849099934101105,9.904812812805176
38.0137499,-0.4525041282176971,-0.237025961279869,9.919178009033203
38.0162499,-0.4572925269603729,-0.2825157940387726,9.852140426635742
38.0187499,-0.4333505034446716,-0.2753331959247589,9.78989028930664
38.0212499,-0.4118026793003082,-0.3112462162971496,9.797073364257812
38.0237499,-0.4357447028160095,-0.3232172429561615,9.749189376831056
38.0262499,-0.4165911078453064,-0.3064578175544739,9.775525093078612
38.0287499,-0.4357447028160095,-0.3112462162971496,9.86889934539795
38.0312499,-0.4572925269603729,-0.2896983921527862,9.856928825378418
38.0337499,-0.4118026793003082,-0.2513911724090576,9.890447616577148
38.0362499,-0.4477157294750213,-0.2968810200691223,9.895236015319824
38.0387499,-0.4141969084739685,-0.2705447971820831,9.797073364257812
38.0412499,-0.4501099288463592,-0.3256114423274994,9.780313491821287
38.0437499,-0.4836287498474121,-0.3519476354122162,9.758766174316406
38.0462499,-0.4908113479614258,-0.3495534360408783,9.758766174316406
38.0487499,-0.4932055473327636,-0.3423708379268646,9.806650161743164
38.0512499,-0.4668693244457245,-0.3375824391841888,9.871294021606444
38.0537499,-0.4477157294750213,-0.2968810200691223,9.856928825378418
38.0562499,-0.4118026793003082,-0.2705447971820831,9.895236015319824
38.0587499,-0.3926490843296051,-0.3160346150398254,9.873687744140623
38.0612499,-0.4022258818149566,-0.2513911724090576,9.761159896850586
38.0637499,-0.4022258818149566,-0.2513911724090576,9.761159896850586
38.0662499,-0.3734954595565796,-0.3232172429561615,9.813833236694336
38.0687499,-0.4405331015586853,-0.332794040441513,9.739612579345703
38.0712499,-0.4261679053306579,-0.2896983921527862,9.74440097808838
38.0737499,-0.4572925269603729,-0.3399766385555267,9.880870819091797
38.0762499,-0.4620809257030487,-0.2944868206977844,9.816226959228516
38.0787499,-0.4094084799289703,-0.241814374923706,9.885659217834473
38.0812499,-0.4429273009300232,-0.3184288144111633,9.84495735168457
38.0837499,-0.3687070608139038,-0.2633621990680694,9.799467086791992
38.0862499,-0.4429273009300232,-0.3519476354122162,9.727641105651855
38.0887499,-0.4381389021873474,-0.3591302633285522,9.749189376831056
38.0912499,-0.4668693244457245,-0.3351882398128509,9.749189376831056
38.0937499,-0.4525041282176971,-0.3471592366695404,9.84256362915039
38.0962499,-0.4596867263317108,-0.2849099934101105,9.904812812805176
38.0987499,-0.3878606855869293,-0.2777273952960968,9.911994934082031
38.1012499,-0.4309563040733337,-0.2753331959247589,9.928754806518556
38.1037499,-0.3878606855869293,-0.2777273952960968,9.840168952941896
38.1062499,-0.4213795065879822,-0.2777273952960968,9.782708168029783
38.1087499,-0.4118026793003082,-0.3351882398128509,9.792284965515137
38.1112499,-0.4477157294750213,-0.3184288144111633,9.761159896850586
38.1137499,-0.4381389021873474,-0.332794040441513,9.801861763000488
38.1162499,-0.4525041282176971,-0.3303998410701751,9.92396640777588
38.1187499,-0.4357447028160095,-0.2873041927814483,9.83538055419922
38.1212499,-0.4405331015586853,-0.2873041927814483,9.940725326538086
38.1237499,-0.4453215301036834,-0.2801215946674347,9.806650161743164
38.1262499,-0.4381389021873474,-0.2825157940387726,9.761159896850586
38.1287499,-0.4620809257030487,-0.3351882398128509,9.773131370544434
38.1312499,-0.4501099288463592,-0.3112462162971496,9.701305389404297
38.1337499,-0.4285621047019958,-0.3280056416988373,9.806650161743164
38.1362499,-0.42377370595932,-0.3351882398128509,9.888052940368652
38.1387499,-0.3591302633285522,-0.2442085742950439,9.859322547912598
38.1412499,-0.3878606855869293,-0.3016694188117981,9.93354320526123
38.1437499,-0.4022258818149566,-0.2633621990680694,9.825803756713867
38.1462499,-0.4381389021873474,-0.2896983921527862,9.75397777557373
38.1487499,-0.4955997467041015,-0.3663128614425659,9.77791976928711
38.1512499,-0.507570743560791,-0.3519476354122162,9.718064308166504
38.1537499,-0.4812345504760742,-0.332794040441513,9.799467086791992
38.1562499,-0.4788403511047363,-0.3447650372982025,9.8784761428833
38.1587499,-0.395043283700943,-0.2226607650518417,9.83538055419922
38.1612499,-0.3974374830722809,-0.2777273952960968,9.904812812805176
38.1637499,-0.3998316824436188,-0.2705447971820831,9.799467086791992
38.1662499,-0.4309563040733337,-0.2849099934101105,9.761159896850586
38.1687499,-0.4932055473327636,-0.3591302633285522,9.804255485534668
38.1712499,-0.4812345504760742,-0.3256114423274994,9.761159896850586
38.1737499,-0.4740519225597381,-0.3232172429561615,9.856928825378418
38.1762499,-0.4381389021873474,-0.3303998410701751,9.890447616577148
38.1787499,-0.395043283700943,-0.2442085742950439,9.84256362915039
38.1812499,-0.4046200811862945,-0.3351882398128509,9.892841339111328
38.1837499,-0.4118026793003082,-0.2657563984394073,9.773131370544434
38.1862499,-0.4453215301036834,-0.3303998410701751,9.775525093078612
38.1887499,-0.4740519225597381,-0.3303998410701751,9.782708168029783
38.1912499,-0.4525041282176971,-0.2968810200691223,9.785101890563965
38.1937499,-0.4429273009300232,-0.3184288144111633,9.890447616577148
38.1962499,-0.42377370595932,-0.3136404156684875,9.892841339111328
38.1987499,-0.3734954595565796,-0.2561795711517334,9.904812812805176
38.2012499,-0.4357447028160095,-0.3615244626998901,9.914389610290527
38.2037499,-0.395043283700943,-0.2585737705230713,9.780313491821287
38.2062499,-0.4644751250743866,-0.3591302633285522,9.797073364257812
38.2087499,-0.4620809257030487,-0.3160346150398254,9.718064308166504
38.2112499,-0.4357447028160095,-0.304063618183136,9.785101890563965
38.2137499,-0.4333505034446716,-0.3088520169258117,9.87608242034912
38.2162499,-0.3495534360408783,-0.2154781520366668,9.86889934539795
38.2187499,-0.3830722570419311,-0.272938996553421,9.911994934082031
38.2212499,-0.4141969084739685,-0.2705447971820831,9.818621635437012
38.2237499,-0.4357447028160095,-0.3136404156684875,9.770736694335938
38.2262499,-0.5171475410461426,-0.3711012601852417,9.792284965515137
38.2287499,-0.4692635238170624,-0.3351882398128509,9.78749656677246
38.2312499,-0.4788403511047363,-0.3375824391841888,9.861717224121094
38.2337499,-0.4333505034446716,-0.3016694188117981,9.892841339111328
38.2362499,-0.3782838582992553,-0.2537853717803955,9.86889934539795
38.2387499,-0.4094084799289703,-0.3351882398128509,9.8784761428833
38.2412499,-0.3902548849582672,-0.2657563984394073,9.765948295593262
38.2437499,-0.4620809257030487,-0.3782838582992553,9.770736694335938
38.2462499,-0.4836287498474121,-0.3351882398128509,9.737217903137209
38.2487499,-0.4644751250743866,-0.304063618183136,9.804255485534668
38.2512499,-0.4381389021873474,-0.3232172429561615,9.890447616577148
38.2537499,-0.3591302633285522,-0.2178723514080047,9.871294021606444
38.2562499,-0.3567360639572143,-0.304063618183136,9.9000244140625
38.2587499,-0.3711012601852417,-0.2849099934101105,9.801861763000488
38.2612499,-0.4429273009300232,-0.3591302633285522,9.761159896850586
38.2637499,-0.4812345504760742,-0.3758896589279175,9.78749656677246
38.2662499,-0.4932055473327636,-0.3567360639572143,9.794678688049316
38.2687499,-0.4453215301036834,-0.3471592366695404,9.90241813659668
38.2712499,-0.3878606855869293,-0.3016694188117981,9.90241813659668
38.2737499,-0.3734954595565796,-0.2825157940387726,9.911994934082031
38.2762499,-0.3567360639572143,-0.3136404156684875,9.871294021606444
38.2787499,-0.4453215301036834,-0.3280056416988373,9.749189376831056
38.2812499,-0.4908113479614258,-0.3232172429561615,9.75397777557373
38.2837499,-0.4955997467041015,-0.3303998410701751,9.780313491821287
38.2862499,-0.5027823448181152,-0.3280056416988373,9.830592155456545
38.2887499,-0.4596867263317108,-0.2849099934101105,9.911994934082031
